,confirmed,new cases,deaths,recovered,active
2020-03-30,782365,62248,37582,164566,580217
2020-03-29,720117,59411,33925,149082,537110
2020-03-28,660706,67415,30652,139415,490639
2020-03-27,593291,63700,27198,130915,435178
2020-03-26,529591,61938,23970,122150,383471
2020-03-25,467653,49608,21181,113787,332685
2020-03-24,418045,39810,18625,108000,291420
2020-03-23,378235,41282,16505,98351,263379
2020-03-22,336953,32557,14651,97899,224403
2020-03-21,304396,32361,12973,91692,199731
2020-03-20,272035,29535,11299,87420,173316
2020-03-19,242500,27679,9867,84975,147658
2020-03-18,214821,17719,8733,83312,122776
2020-03-17,197102,15528,7905,80840,108357
2020-03-16,181574,14120,7126,78088,96360
2020-03-15,167454,11353,6440,76034,84980
2020-03-14,156101,10896,5819,72624,77658
2020-03-13,145205,16853,5404,70251,69550
2020-03-12,128352,2477,4720,68324,55308
2020-03-11,125875,7255,4615,67003,54257
2020-03-10,118620,5030,4262,64404,49954
2020-03-09,113590,3769,3988,62494,47108
2020-03-08,109821,3974,3802,60694,45325
2020-03-07,105847,4046,3558,58358,43931
2020-03-06,101801,3915,3460,55865,42476
2020-03-05,97886,2766,3348,53796,40742
2020-03-04,95120,2280,3254,51170,40696
2020-03-03,92840,2534,3160,48228,41452
2020-03-02,90306,1937,3085,45602,41619
2020-03-01,88369,2358,2996,42716,42657
2020-02-29,86011,1899,2941,39782,43288
2020-02-28,84112,1366,2872,36711,44529
2020-02-27,82746,1358,2814,33277,46655
2020-02-26,81388,982,2770,30384,48234
2020-02-25,80406,845,2708,27905,49793
2020-02-24,79561,603,2629,25227,51705
2020-02-23,78958,386,2469,23394,53095
2020-02-22,78572,1753,2458,22886,53228
2020-02-21,76819,622,2251,18890,55678
2020-02-20,76197,558,2247,18177,55773
2020-02-19,75639,503,2122,16121,57396
2020-02-18,75136,1878,2007,14352,58777
2020-02-17,73258,2034,1868,12583,58807
2020-02-16,71224,2194,1770,10865,58589
2020-02-15,69030,2145,1666,9395,57969
2020-02-14,66885,6517,1523,8058,57304
2020-02-13,60368,15147,1371,6295,52702
2020-02-12,45221,419,1118,5150,38953
2020-02-11,44802,2040,1113,4683,39006
2020-02-10,42762,2612,1013,3946,37803
2020-02-09,40150,3030,906,3244,36000
2020-02-08,37120,2729,806,2616,33698
2020-02-07,34391,3597,719,2011,31661
2020-02-06,30794,3159,634,1487,28673
2020-02-05,27635,3743,564,1124,25947
2020-02-04,23892,4011,492,852,22548
2020-02-03,19881,3094,426,623,18832
2020-02-02,16787,4749,362,472,15953
2020-02-01,12038,2111,259,284,11495
2020-01-31,9927,1693,213,222,9492
2020-01-30,8234,2068,171,143,7920
2020-01-29,6166,588,133,126,5907
2020-01-28,5578,2651,131,107,5340
2020-01-27,2927,809,82,61,2784
2020-01-26,2118,684,56,52,2010
2020-01-25,1434,493,42,39,1353
2020-01-24,941,287,26,36,879
2020-01-23,654,99,18,30,606
2020-01-22,555,0,17,28,510
